Nama_Obat,Zat_Aktif
GALVUSMET,METFORMIN HYDROCHLORIDE
SIMBRINZA,BRIMONIDINE TARTRATE
SIMBRINZA,BRINZOLAMIDE
HEALIVE®,INACTIVATED HEPATITIS A VIRUS
INLIVE®,INACTIVATED ENTEROVIRUS TYPE 71
BEVAGEN,BEVACIZUMAB
RENOGEN,EPOETIN ALFA
SCITROPIN A,SOMATROPIN
CONVIDECIA,RECOMBINANT NOVEL ADENOVIRUS (AD-5) VECTOR-SARS-COV-2
GETANA,GEFITINIB
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 1 CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 3 CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 4 CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5 CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6A CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6B CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9V CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 14 CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19A CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19F CONJUGATED TO TETANUS TOXOID
VALENINA,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23F CONJUGATED TO TETANUS TOXOID
INFLIX,INFLIXIMAB
PACLITAXEL,PACLITAXEL
VACETA,HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN
VACETA,HUMAN PAPILLOMAVIRUS TYPE 18 L1 PROTEIN
MICACURA,MICAFUNGIN SODIUM
MENHYCIA,MENINGOCOCCAL POLYSACCHARIDE GROUP A CONJUGATED TO CRM197 PROTEIN
MENHYCIA,MENINGOCOCCAL POLYSACCHARIDE GROUP C CONJUGATED TO CRM197 PROTEIN
MENHYCIA,MENINGOCOCCAL POLYSACCHARIDE GROUP Y CONJUGATED TO CRM197 PROTEIN
MENHYCIA,MENINGOCOCCAL POLYSACCHARIDE GROUP W135 CONJUGATED TO CRM197 PROTEIN
ETAPIDI,TISLELIZUMAB
DOCETAXEL TRIHYDRATE,DOCETAXEL TRIHYDRATE
ENOXAPARIN SODIUM,ENOXAPARIN SODIUM
SITAGLIPTIN PHOSPHATE,SITAGLIPTIN PHOSPHATE
BRUKINSA,ZANUBRUTINIB
HERZUMA,TRASTUZUMAB
TRUXIMA,RITUXIMAB
